Runtime,Director,Writer,Actor,Rating,Target
102,Don Siegel,"Harry Julian Fink , Rita M. Fink , Dean Riesner , Harry Julian Fink , Rita M. Fink ","Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon",7.8,1
98,Franck Khalfoun,"Alexandre Aja , Grégory Levasseur , Franck Khalfoun , Alexandre Aja , Grégory Levasseur ","Wes Bentley, Rachel Nichols, Simon Reynolds, Philip Akin",5.9,0
90,T. Sean Shannon,"T. Sean Shannon, Greg Fields","Cuba Gooding Jr., Spencer Breslin, Nikki Blonsky, Ally Sheedy",5.5,0
100,John Glenn,"John Glenn , Evan Astrowsky ","Paul Walker, Piper Perabo, Brooklynn Proulx, Bob Gunton",6.2,0
125,Roger Spottiswoode,"Jane Hawksley, James MacManus","Jonathan Rhys Meyers, Radha Mitchell, Yun-Fat Chow, Michelle Yeoh",7.1,1
101,Howard Deutch,Jordan Cahan,"Dane Cook, Kate Hudson, Alec Baldwin, Jason Biggs",5.9,0
98,Tommy O'Haver,"Tommy O'Haver, Irene Turner","Ellen Page, Hayley McFarland, Nick Searcy, Romy Rosemont",7.4,1
95,Kar-Wai Wong,"Kar-Wai Wong , Lawrence Block , Kar-Wai Wong ","Jude Law, Norah Jones, Chad R. Davis, Katya Blumenberg",6.7,0
89,John Carpenter,"John Carpenter, Debra Hill","Adrienne Barbeau, Jamie Lee Curtis, Janet Leigh, John Houseman",6.8,1
115,Howard McCain,"Dirk Blackman, Howard McCain","Jim Caviezel, Sophia Myles, Jack Huston, John Hurt",6.3,0
124,Nick Moore,Lucy Dahl,"Emma Roberts, Lexi Ainsworth, Shelby Young, Johnny Pacar",6.1,0
98,Gerald McMorrow,Gerald McMorrow,"Eva Green, Ryan Phillippe, Sam Riley, Bernard Hill",6.2,0
96,Bruce Beresford,"Stephen Katz, John Darrouzet","Morgan Freeman, John Cusack, Jamie Anderson, Alice Krige",5.7,0
103,John Maybury,"Tom Bleecker , Marc Rocco , Massy Tadjedin ","Adrien Brody, Keira Knightley, Kris Kristofferson, Jennifer Jason Leigh",7.1,1
97,Rob Reiner,Justin Zackham,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd",7.4,1
126,Richard LaGravenese,"Richard LaGravenese , Steven Rogers , Cecelia Ahern ","Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon",7.1,1
128,Marc Forster,"David Benioff , Khaled Hosseini ","Khalid Abdalla, Atossa Leoni, Shaun Toub, Sayed Jafar Masihullah Gharibzada",7.6,1
98,Makoto Kamiya,"Shotaro Suga , Shinji Mikami ","Paul Mercier, Alyson Court, Laura Bailey, Roger Craig Smith",6.6,0
119,Tony Gilroy,Tony Gilroy,"Tom Wilkinson, Michael O'Keefe, Sydney Pollack, Danielle Skraastad",7.3,1
101,"Marcel Sarmiento, Gadi Harel",Trent Haaga,"Shiloh Fernandez, Noah Segan, Candice King, Eric Podnar",5.7,0
135,Steven Soderbergh,"Peter Buchman , Benjamin A. van der Veen , Ernesto 'Che' Guevara ","Demián Bichir, Rodrigo Santoro, Benicio Del Toro, Catalina Sandino Moreno",6.9,1
98,"David Moreau, Xavier Palud","Sebastian Gutierrez , Yuet-Jan Hui, Oxide Chun Pang, Danny Pang","Jessica Alba, Alessandro Nivola, Parker Posey, Rade Serbedzija",5.4,0
117,Sidney Lumet,Kelly Masterson,"Philip Seymour Hoffman, Ethan Hawke, Albert Finney, Marisa Tomei",7.3,1
115,José Padilha,"André Batista , Bráulio Mantovani, José Padilha, Rodrigo Pimentel , Rodrigo Pimentel, Luiz Eduardo Soares ","Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz",8.1,1
93,Rodrigo García,Ronnie Christensen,"Anne Hathaway, Patrick Wilson, Andre Braugher, Dianne Wiest",5.8,0
117,James Gray,James Gray,"Joaquin Phoenix, Eva Mendes, Danny Hoch, Alex Veadov",6.9,1
141,Phillip Noyce,"Tom Clancy , Donald Stewart , Steven Zaillian , John Milius ","Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida",6.9,1
108,Woody Allen,Woody Allen,"Ewan McGregor, Colin Farrell, Peter-Hugo Daly, John Benfield",6.7,0
103,Gabor Csupo,"Lucy Shuttleworth , Graham Alborough , Elizabeth Goudge ","Dakota Blue Richards, Juliet Stevenson, Tim Curry, Tamás Tóth",6.2,0
116,Til Schweiger,"Anika Decker, Til Schweiger","Til Schweiger, Nora Tschirner, Matthias Schweighöfer, Alwara Höfels",6.6,0
100,"Theodoros Angelopoulos, Olivier Assayas, Bille August, Jane Campion, Youssef Chahine, Kaige Chen, Michael Cimino, Ethan Coen, Joel Coen, David Cronenberg, Jean-Pierre Dardenne, Luc Dardenne, Manoel de Oliveira, Raymond Depardon, Atom Egoyan, Amos Gitai, Hsiao-Hsien Hou, Alejandro G. Iñárritu, Aki Kaurismäki, Abbas Kiarostami, Takeshi Kitano, Andrey Konchalovskiy, Claude Lelouch, Ken Loach, David Lynch, Nanni Moretti, Roman Polanski, Raoul Ruiz, Walter Salles, Elia Suleiman, Ming-liang Tsai, Gus Van Sant, Lars von Trier, Wim Wenders, Kar-Wai Wong, Yimou Zhang","Manoel de Oliveira , Manoel de Oliveira , Atom Egoyan , Olivier Assayas , William Chang , Jean-Pierre Dardenne , Luc Dardenne , Amos Gitai , Alejandro G. Iñárritu , Aki Kaurismäki , Andrey Konchalovskiy , Nanni Moretti , Kar-Wai Wong , Yimou Zhang , Jingzhi Zou ","Isabelle Adjani, Pegah Ahangarani, Anouk Aimée, Leonid Alexeenko",6.8,1
113,Jonathan Demme,Jenny Lumet,"Sebastian Stan, Roslyn Ruff, Anne Hathaway, Bill Irwin",6.7,0
126,Stuart Rosenberg,"Donn Pearce , Frank Pierson , Donn Pearce ","Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio",8.2,1
97,Tom Kalin,"Howard A. Rodman , Natalie Robins , Steven M.L. Aronson ","Julianne Moore, Stephen Dillane, Anne Reid, Martin Huber",5.9,0
98,Martin Wood,Brad Wright,"Ben Browder, Amanda Tapping, Christopher Judge, Michael Shanks",7.6,1
101,Bill Maher,Zac Stanford,"Nick Stahl, AnnaSophia Robb, Charlize Theron, Deborra-Lee Furness",6.2,0
98,Dave Filoni,"Henry Gilroy, Steven Melching, Scott Murphy, George Lucas ","Matt Lanter, Ashley Eckstein, James Arnold Taylor, Dee Bradley Baker",5.8,0
148,John Woo,"John Woo , Khan Chan , Cheng Kuo , Heyu Sheng , Guanzhong Luo ","Tony Chiu Wai Leung, Takeshi Kaneshiro, Fengyi Zhang, Chen Chang",7.4,1
103,Lexi Alexander,"Nick Santora, Art Marcum, Matt Holloway","Ray Stevenson, Dominic West, Doug Hutchison, Colin Salmon",6,0
93,Joel Hopkins,Joel Hopkins,"Dustin Hoffman, Emma Thompson, Eileen Atkins, Kathy Baker",6.7,0
105,"Shari Springer Berman, Robert Pulcini","Emma McLaughlin , Nicola Kraus , Shari Springer Berman , Robert Pulcini ","Scarlett Johansson, Donna Murphy, John Henry Cox, Alicia Keys",6.2,0
181,Aditya Chopra,"Aditya Chopra , Aditya Chopra , Aditya Chopra , Javed Siddiqui ","Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal",8.2,1
96,Sidney Lumet,"Reginald Rose , Reginald Rose ","Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall",8.9,1
108,Jérôme Salle,"Julien Rappeneau , Jérôme Salle , Jean Van Hamme , Philippe Francq ","Tomer Sisley, Kristin Scott Thomas, Predrag 'Miki' Manojlovic, Mélanie Thierry",6.5,0
91,Yavar Abbas,"Nigel Henbest, Billie Pink","Alec Baldwin, Sean Pertwee",8.6,1
121,Paul Haggis,"Paul Haggis , Mark Boal , Paul Haggis ","Tommy Lee Jones, Charlize Theron, Jason Patric, Susan Sarandon",7.2,1
96,Michael Campus,Ken LaZebnik,"Jared Padalecki, Marcia Gay Harden, Peter O'Toole, Aaron Ashmore",6.5,0
99,"Danny Pang, Oxide Chun Pang","Jason Richman , Oxide Chun Pang, Danny Pang","Nicolas Cage, Shahkrit Yamnarm, Charlie Yeung, Panward Hemmanee",5.4,0
80,Robert Vince,"Robert Vince, Anna McRoberts, Phil Hanley, Kevin DiCicco (character ""Air Bud""), Paul Tamasy , Aaron Mendelsohn ","Cascy Beddow, Jane Carr, Kelly Chapek, Patrick Cranshaw",4.9,0
103,Lisa Azuelos,"Lisa Azuelos (scenario & dialogue), Nans Delgado (scenario & dialogue)","Sophie Marceau, Christa Théret, Jérémy Kapone, Marion Chabassol",6.3,0
100,Dito Montiel,"Dito Montiel , Dito Montiel","Dianne Wiest, Robert Downey Jr., Shia LaBeouf, Melonie Diaz",7.1,1
88,David Ross,David Ross,"Lauren Birkell, Paul Borghese, Chira Cassel, Anthony Cirillo",5.7,0
99,Pascal Laugier,Pascal Laugier,"Morjana Alaoui, Mylène Jampanoï, Catherine Bégin, Robert Toupin",7.1,1
97,"Raul Garcia, Manuel Sicilia","Manuel Sicilia , Raul Garcia , Jose E. Machuca , Valentín Fernández-Tubau , Pedro Angosto , Pepe Díaz , Raul Garcia , Stephen Hughes , Manuel Sicilia ","David Robles, Cecilia Santiago, Conchi López, Abraham Aguilar",5.6,0
91,Wes Anderson,"Wes Anderson, Roman Coppola, Jason Schwartzman","Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan",7.2,1
112,Isabel Coixet,"Nicholas Meyer , Philip Roth ","Penélope Cruz, Ben Kingsley, Dennis Hopper, Patricia Clarkson",6.8,1
120,"Olivier Assayas, Frédéric Auburtin, Emmanuel Benbihy, Gurinder Chadha, Sylvain Chomet, Ethan Coen, Joel Coen, Isabel Coixet, Wes Craven, Alfonso Cuarón, Gérard Depardieu, Christopher Doyle, Richard LaGravenese, Vincenzo Natali, Alexander Payne, Bruno Podalydès, Walter Salles, Oliver Schmitz, Nobuhiro Suwa, Daniela Thomas, Tom Tykwer, Gus Van Sant","Tristan Carné , Emmanuel Benbihy , Emmanuel Benbihy , Bruno Podalydès , Paul Mayeda Berges , Gurinder Chadha , Gus Van Sant , Joel Coen , Ethan Coen , Walter Salles , Daniela Thomas , Christopher Doyle , Rain Li , Gabrielle Keng , Isabel Coixet , Nobuhiro Suwa , Sylvain Chomet , Alfonso Cuarón , Olivier Assayas , Oliver Schmitz , Richard LaGravenese , Vincenzo Natali , Wes Craven , Tom Tykwer , Gena Rowlands , Alexander Payne , Nadine Eïd , Frédéric Auburtin , Jean-Pierre Ronssin , Jane Hawksley , Vincent Poymiro , Paul Mayeda Berges , Nadine Eïd ","Fanny Ardant, Julie Bataille, Leïla Bekhti, Melchior Derouet",7.3,1
117,Philippe Claudel,Philippe Claudel,"Kristin Scott Thomas, Elsa Zylberstein, Serge Hazanavicius, Laurent Grévill",7.6,1
120,Joshua Michael Stern,"Jason Richman, Joshua Michael Stern","Kevin Costner, Madeline Carroll, Paula Patton, Kelsey Grammer",6.1,0
96,Fred Cavayé,"Fred Cavayé , Guillaume Lemans , Guillaume Lemans ","Vincent Lindon, Diane Kruger, Lancelot Roch, Olivier Marchal",7.2,1
105,Neil Marshall,Neil Marshall,"Caryn Peterson, Adeola Ariyo, Emma Cleasby, Christine Tomlinson",6,0
95,Jieho Lee,"Jieho Lee, Bob DeRosa","Kevin Bacon, Julie Delpy, Brendan Fraser, Andy Garcia",6.9,1
141,Ulrich Seidl,"Veronika Franz, Ulrich Seidl","Ekateryna Rak, Lidiya Oleksandrivna Savka, Oksana Ivanivna Sklyarenko, Dmytro Andriyovich Gachkov",7.1,1
101,Paul Weiland,"Adam Sztykiel , Deborah Kaplan , Harry Elfont , Adam Sztykiel ","Patrick Dempsey, Michelle Monaghan, Kevin McKidd, Kadeem Hardison",5.8,0
84,Dave Meyers,"Eric Red , Jake Wade Wall , Eric Bernt , Eric Red","Sean Bean, Sophia Bush, Zachary Knighton, Neal McDonough",5.6,0
91,Christine Jeffs,Megan Holley,"Amy Adams, Emily Blunt, Alan Arkin, Jason Spevack",6.9,1
93,John Dahl,"Christopher Markus, Stephen McFeely","Ben Kingsley, Téa Leoni, Luke Wilson, Dennis Farina",6.5,0
122,Ron Howard,"Peter Morgan , Peter Morgan ","Frank Langella, Michael Sheen, Sam Rockwell, Kevin Bacon",7.7,1
120,Werner Herzog,Werner Herzog,"Zach Grenier, Marshall Bell, Christian Bale, Toby Huss",7.3,1
90,Jean-Luc Godard,François Truffaut ,"Jean Seberg, Jean-Paul Belmondo, Daniel Boulanger, Henri-Jacques Huet",8,1
165,Baz Luhrmann,"Stuart Beattie , Baz Luhrmann , Ronald Harwood , Richard Flanagan , Baz Luhrmann ","Shea Adams, Eddie Baroo, Ray Barrett, Tony Barry",6.6,0
115,David Von Ancken,"David Von Ancken, Abby Everett Jaques","Liam Neeson, Pierce Brosnan, Michael Wincott, Xander Berkeley",6.7,0
84,Larry Bishop,Larry Bishop,"Julia Jones, Larry Bishop, Leonor Varela, Austin Galuppo",5.1,0
85,"Chris Delaporte, Pascal Pinon","Pierre Bordage , Patrick Daher , Chris Delaporte , Chris Delaporte , Tarik Hamdine , Alejandro Jodorowsky , Benjamin Legrand , Kenneth Oppel ","Cécile De France, Michael Lonsdale, Victoria Abril, François Siener",6.2,0
91,Louis Morneau,"James Robert Johnston, Bennett Yellin, Clay Tarver , J.J. Abrams ","Nicki Aycox, Nick Zano, Laura Jordan, Kyle Schmid",5.1,0
84,Jon Jones,"Andrew Davies , Jane Austen ","Geraldine James, Michael Judd, Julia Dearden, Gerry O'Brien",7.3,1
105,Shinji Aramaki,"Masamune Shirow , Kiyoto Takeuchi , Todd Weinger","Ai Kobayashi, Kôichi Yamadera, Yûji Kishi, Kong Kuwata",7.2,1
95,David Mackenzie,"Peter Jinks , David Mackenzie , Ed Whitmore ","Jamie Bell, Ruth Milne, John Paul Lawler, Claire Forlani",7,1
133,Julian Jarrold,"Andrew Davies, Jeremy Brock, Evelyn Waugh ","Matthew Goode, Thomas Morrison, David Barrass, Anna Madeley",6.7,0
115,Neil Burger,"Neil Burger, Dirk Wittenborn","Rachel McAdams, Tim Robbins, Michael Peña, Molly Hagan",7,1
91,Makoto Shinkai,"Makoto Shinkai , Makoto Shinkai , Steven Foster ","Hidetaka Yoshioka, Masato Hagiwara, Yuka Nanri, Unshô Ishizuka",7.3,1
85,S.R. Bindler,"S.R. Bindler, Mark Gustawes , George R. Mays, Cory Van Dyke ","Matthew McConaughey, Alexie Gilmore, Jeffrey Nordling, Woody Harrelson",4.7,0
84,Joby Harold,Joby Harold,"Hayden Christensen, Jessica Alba, Terrence Howard, Lena Olin",6.5,0
87,Marcos Siega,Daniel Taplitz,"Ryan Reynolds, Emily Mortimer, Stuart Townsend, Sarah Chalke",6.7,0
91,John Carpenter,"John Carpenter , Debra Hill ","Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P.J. Soles",7.9,1
98,Stefan Ruzowitzky,"Adolf Burger , Stefan Ruzowitzky ","Karl Markovics, August Diehl, Devid Striesow, Martin Brambach",7.6,1
131,Guillaume Canet,"Guillaume Canet, Harlan Coben , Philippe Lefebvre","François Cluzet, Marie-Josée Croze, André Dussollier, Kristin Scott Thomas",7.6,1
100,Helen Hunt,"Alice Arlen , Victor Levin , Helen Hunt , Elinor Lipman ","Helen Hunt, Bette Midler, Colin Firth, Matthew Broderick",6,0
94,Robert Kenner,"Robert Kenner, Elise Pearlstein, Kim Roberts","Eric Schlosser, Richard Lobb, Vince Edwards, Carole Morison",7.9,1
121,Fernando Meirelles,"José Saramago , Don McKellar ","Yûsuke Iseya, Jason Bermingham, Eduardo Semerjian, Don McKellar",6.6,0
85,Craig Lucas,Elyse Friedman,"Matthew Perry, Ben Foster, Ginnifer Goodwin, Lauren Graham",6.2,0
134,Hark Tsui,"Yiu-ming Leung, Elsa Tang, Hark Tsui, Kai-Chi Yuen","Jet Li, Biao Yuen, Rosamund Kwan, Jacky Cheung",7.4,1
131,Christopher McQuarrie,"Christopher McQuarrie , Christopher McQuarrie , Drew Pearce , Bruce Geller ","Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",7.4,1
103,Martin Koolhoven,"Mieke de Jong , Martin Koolhoven , Paul Jan Nelissen , Jan Terlouw ","Martijn Lakemeier, Yorick van Wageningen, Jamie Campbell Bower, Raymond Thiry",7.1,1
141,Juraj Jakubisko,"Juraj Jakubisko, John Paul Chapple , Lubomír Feldek ","Anna Friel, Karel Roden, Vincent Regan, Hans Matheson",6,0
103,Jada Pinkett Smith,Jada Pinkett Smith,"Jason Clarke, Paz Vega, Idris Elba, T.J. Thyne",5.2,0
136,Todd Field,"Todd Field , Tom Perrotta , Tom Perrotta ","Kate Winslet, Jennifer Connelly, Patrick Wilson, Jackie Earle Haley",7.6,1
95,John Gulager,"Marcus Dunstan, Patrick Melton","Balthazar Getty, Henry Rollins, Navi Rawat, Judah Friedlander",6.4,0
107,David Gordon Green,"David Gordon Green , Stewart O'Nan ","Kate Beckinsale, Sam Rockwell, Michael Angarano, Jeannetta Arnette",6.9,1
98,Stuart Townsend,Stuart Townsend,"André Benjamin, Jennifer Carpenter, Isaach De Bankolé, Woody Harrelson",6.7,0
93,Andrew Currie,"Robert Chomiak, Andrew Currie, Dennis Heaton, Dennis Heaton ","Jan Skorzewski, Kevin Tyell, Andy Parkin, Lynn Pendleton",6.8,1
145,Richard Kelly,Richard Kelly,"Carlos Amezcua, Curtis Armstrong, Robert Benz, Todd Berger",5.5,0
115,Jean-Claude Brisseau,Jean-Claude Brisseau,"Coralie Revel, Sabrina Seyvecou, Roger Miremont, Fabrice Deville",6.1,0
85,"Ash Brannon, Chris Buck","Don Rhymer , Ash Brannon , Chris Buck , Christopher Jenkins , Christopher Jenkins , Christian Darren ","Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder",6.8,1
88,Nelson McCormick,J.S. Cardone,"Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis",3.9,0
88,Akiva Schaffer,Pam Brady,"Andy Samberg, Jorma Taccone, Bill Hader, Danny McBride",6.7,0
100,John August,John August,"Ryan Reynolds, Melissa McCarthy, Hope Davis, Elle Fanning",6.4,0
114,George Clooney,"Duncan Brantley, Rick Reilly","John Krasinski, David de Vries, Rick Forrester, Craig S. Harper",6,0
93,Zach Helm,Zach Helm,"Ted Ludzik, Natalie Portman, Zach Mills, Dustin Hoffman",6.2,0
94,Brian Smrz,"Chad Law, Evan Law","Cuba Gooding Jr., Ray Liotta, Norman Reedus, Kim Coates",5.7,0
91,James Watkins,James Watkins,"Kelly Reilly, Michael Fassbender, Tara Ellis, Jack O'Connell",6.8,1
101,Jon Avnet,Russell Gewirtz,"Robert De Niro, Al Pacino, 50 Cent, Carla Gugino",6,0
135,Todd Haynes,"Todd Haynes , Oren Moverman , Todd Haynes ","Cate Blanchett, Ben Whishaw, Christian Bale, Richard Gere",7,1
107,Joshua Seftel,"Mark Leyner, Jeremy Pikser, John Cusack","John Cusack, Hilary Duff, Marisa Tomei, Joan Cusack",5.7,0
110,Robert B. Weide,"Peter Straughan , Toby Young ","Kelan Pannell, Janette Scott, Simon Pegg, Megan Fox",6.5,0
122,Mamoru Oshii,"Hiroshi Mori , Chihiro Itô ","Rinko Kikuchi, Ryô Kase, Shôsuke Tanihara, Megumi Yamaguchi",6.8,1
96,"Jennifer Flackett, Mark Levin","Joseph Kwong , Paula Mazur , Mark Levin , Jennifer Flackett , Wendy Orr ","Abigail Breslin, Jodie Foster, Gerard Butler, Michael Carman",6,0
99,Siu-Tung Ching,"James Yuen , Tan Cheung , Tin Nam Chun ","Kelly Chen, Donnie Yen, Leon Lai, Xiaodong Guo",5.9,0
95,Marc Schölermann,"Mark Neveldine, Brian Taylor","Milo Ventimiglia, Michael Weston, Alyssa Milano, Lauren Lee Smith",6,0
115,Tomas Alfredson,"John Ajvide Lindqvist , John Ajvide Lindqvist ","Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl",8,1
101,Richard Shepard,"Richard Shepard, Scott Anderson ","Terrence Howard, Richard Gere, Gordana Vukres, James Brolin",6.9,1
145,Michael Patrick King,"Michael Patrick King, Candace Bushnell , Darren Star ","Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",5.5,0
114,Paul Gross,Paul Gross,"Paul Gross, Caroline Dhavernas, Joe Dinicol, Meredith Bailey",6.5,0
125,Oliver Stone,"John Ridley , John Ridley ","Sean Penn, Billy Bob Thornton, Abraham Benrubi, Richard Rutowski",6.8,1
130,Gavin O'Connor,"Joe Carnahan , Gavin O'Connor , Gavin O'Connor , Greg O'Connor , Robert Hopes ","Colin Farrell, Edward Norton, Jon Voight, Noah Emmerich",6.7,0
94,Mitchell Lichtenstein,Mitchell Lichtenstein,"Jess Weixler, John Hensley, Josh Pais, Hale Appleman",5.4,0
103,"Fatih Akin, Yvan Attal, Randall Balsmeyer, Allen Hughes, Shunji Iwai, Wen Jiang, Shekhar Kapur, Joshua Marston, Mira Nair, Natalie Portman, Brett Ratner","Hu Hong , Yao Meng , Israel Horovitz , Suketu Mehta , Shunji Iwai , Israel Horovitz , Olivier Lécot , Jeff Nathanson , Xan Cassavetes , Stephen Winter , Anthony Minghella , Natalie Portman , Fatih Akin , Joshua Marston , Hall Powell (transitions ""Randy Balsmeyer""), Israel Horovitz (transitions ""Randy Balsmeyer""), James C. Strouse (transitions ""Randy Balsmeyer""), Emmanuel Benbihy ","Hayden Christensen, Andy Garcia, Rachel Bilson, Natalie Portman",6.3,0
142,Gary Ross,"Gary Ross , Suzanne Collins , Billy Ray , Suzanne Collins ","Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",7.3,1
112,Kenny Ortega,"Peter Barsocchini, Peter Barsocchini ","Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel",4.5,0
128,Gus Van Sant,Dustin Lance Black,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna",7.6,1
111,Felix van Groeningen,"Johan Heldenbergh , Mieke Dobbels , Carl Joos , Felix van Groeningen , Charlotte Vandermeersch ","Johan Heldenbergh, Veerle Baetens, Nell Cattrysse, Geert Van Rampelberg",7.8,1
86,Alfred Hitchcock,"John Buchan , Charles Bennett , Ian Hay ","Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle",7.8,1
160,Spike Lee,"James McBride , James McBride ","Derek Luke, Michael Ealy, Laz Alonso, Omar Benson Miller",6,0
90,Daniel Myrick,"Daniel Myrick , Mark A. Patton , Wesley Clark , Daniel Myrick , Mark A. Patton ","Jonas Ball, Matthew R. Anderson, Jon Huertas, Michael C. Williams",5.6,0
115,Ed Harris,"Robert Knott , Ed Harris , Robert B. Parker ","Robert Jauregui, Jeremy Irons, Timothy V. Murphy, Luce Rains",6.8,1
93,"Bernie Goldmann, Melisa Wallack",Melisa Wallack,"Aaron Eckhart, Jessica Alba, Elizabeth Banks, Logan Lerman",6.3,0
129,Hideo Nakata,"Tsugumi Ohba , Takeshi Obata , Hirotoshi Kobayashi, Kiyomi Fujii","Ken'ichi Matsuyama, Michael Adamthwaite, Sota Aoyama, Shannon Chan-Kent",6.3,0
81,Kirk De Micco,"Kirk De Micco , Robert Moreland , Kirk De Micco , Jason Mayland ","Andy Samberg, Cheryl Hines, Jeff Daniels, Patrick Warburton",4.5,0
99,Jonathan Levine,Jonathan Levine,"Ben Kingsley, Josh Peck, Famke Janssen, Olivia Thirlby",7,1
108,Michael Radford,Edward Anderson,"Demi Moore, Michael Caine, Lambert Wilson, Nathaniel Parker",6.8,1
105,James Wan,"Ian Mackenzie Jeffers , Brian Garfield ","Kevin Bacon, Garrett Hedlund, Kelly Preston, Jordan Garrett",6.8,1
95,Keiichi Sugiyama,"Umanosuke Iida , Nana Shiina , Naoko Kakimoto , John Burgmeier ","Ryô Katsuji, Aoi Miyazaki, Yûko Kotegawa, Masaru Hamaguchi",6.5,0
92,Bharat Nalluri,"David Magee , Simon Beaufoy , Winifred Watson ","Amy Adams, David Alexander, Clare Clifford, Christina Cole",7.1,1
113,Cristian Mungiu,Cristian Mungiu,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov, Alexandru Potocean",7.9,1
87,Anthony Leondis,"Chris McKenna, John Hoffman , Anthony Leondis , Dimitri Toscas ","John Cusack, Myleene Klass, Robin Walsh, Matt McKenna",6.1,0
106,Craig Gillespie,Nancy Oliver,"Ryan Gosling, Emily Mortimer, Paul Schneider, R.D. Reid",7.4,1
142,Elem Klimov,"Ales Adamovich , Ales Adamovich , Elem Klimov ","Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas",8.3,1
114,Jeffrey Nachmanoff,"Jeffrey Nachmanoff , Steve Martin , Jeffrey Nachmanoff ","Don Cheadle, Guy Pearce, Saïd Taghmaoui, Neal McDonough",7,1
126,Sergey Bodrov,"Arif Aliev, Sergey Bodrov","Tadanobu Asano, Honglei Sun, Khulan Chuluun, Aliya",7.3,1
110,Mark Rydell,"Lewis John Carlino , Howard Koch , D.H. Lawrence ","Sandy Dennis, Anne Heywood, Keir Dullea, Glynne Morris",6.8,1
111,Andrey Konchalovskiy,"Djordje Milicevic , Paul Zindel , Edward Bunker , Akira Kurosawa ","Jon Voight, Eric Roberts, Rebecca De Mornay, Kyle T. Heffner",7.3,1
114,Malcolm D. Lee,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Margaret Avery, Joy Bryant",5.3,0
133,Yves Simoneau,"Daniel Giat , Dee Brown ","Anna Paquin, Chevez Ezaneh, August Schellenberg, Duane Howard",7.2,1
126,Philipp Stölzl,"Christoph Silber, Philipp Stölzl, Rupert Henning, Johannes Naber, Benedikt Roeskau ","Benno Fürmann, Johanna Wokalek, Florian Lukas, Simon Schwarz",7.4,1
113,Tamara Jenkins,Tamara Jenkins,"Laura Linney, Philip Seymour Hoffman, Philip Bosco, Peter Friedman",7.2,1
90,Peter Sollett,"Lorene Scafaria , Rachel Cohn , David Levithan ","Michael Cera, Kat Dennings, Aaron Yoo, Rafi Gavron",6.7,0
96,Jake Kasdan,"Judd Apatow, Jake Kasdan","Nat Faxon, John C. Reilly, Tim Meadows, Conner Rayburn",6.7,0
86,Bryan Bertino,Bryan Bertino,"Alex Fisher, Peter Clayton-Luce, Scott Speedman, Liv Tyler",6.2,0
100,Hannes Stöhr,Hannes Stöhr,"Paul Kalkbrenner, Rita Lengyel, Corinna Harfouch, Araba Walton",7.3,1
97,George C. Wolfe,"Ann Peacock , John Romano , Nicholas Sparks ","Richard Gere, Diane Lane, Christopher Meloni, Viola Davis",6,0
112,Julian Schnabel,"Ronald Harwood , Jean-Dominique Bauby ","Mathieu Amalric, Emmanuelle Seigner, Marie-Josée Croze, Anne Consigny",8,1
122,Gavin Hood,Kelley Sane,"Jake Gyllenhaal, Reese Witherspoon, Meryl Streep, Alan Arkin",6.8,1
88,Michael Dinner,Barry Fanaro,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya, Seymour Cassel",5.6,0
90,Carter Smith,"Scott B. Smith , Scott B. Smith ","Jonathan Tucker, Jena Malone, Laura Ramsey, Shawn Ashmore",5.9,0
111,Michael Haneke,Michael Haneke,"Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet",6.5,0
88,"Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen","Carlo Collodi , Ted Sears , Otto Englander , Webb Smith , William Cottrell , Joseph Sabo , Erdman Penner , Aurelius Battaglia ","Mel Blanc, Don Brodie, Walter Catlett, Marion Darlington",7.5,1
105,Roy Stuart,"Rémi Bohrt , François Bokonon , Alain Deloffre , Lazlo Hamlin , Joseph Simas , Roy Stuart","Mika Ela Fisher, Anna Bielska, Pierre Heitz, Nicole Auberger",5,0
